org_standard,org_order,org_family,org_genus,org_species,org_subspecies,org_clean
STAPHYLOCOCCYS PETRASII,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,PETRASII,,STAPHYLOCOCCUS PETRASII
STAPHYLOCOCCUS PETTENKOFERI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,PETTENKOFERI,,STAPHYLOCOCCUS PETTENKOFERI
STAPHYLOCOCCUS PSEUDINTERMEDIUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,PSEUDINTERMEDIUS,,STAPHYLOCOCCUS PSEUDINTERMEDIUS
STAPHYLOCOCCUS SACCHAROLYTICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SACCHAROLYTICUS,,STAPHYLOCOCCUS SACCHAROLYTICUS
STAPHYLOCOCCUS SAPROPHYTICUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SAPROPHYTICUS,,STAPHYLOCOCCUS SAPROPHYTICUS
STAPHYLOCOCCUS SCHLEIFERI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SCHLEIFERI,,STAPHYLOCOCCUS SCHLEIFERI
STAPHYLOCOCCUS SCHLEIFERI SS COAGULANS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SCHLEIFERI,COAGULANS,STAPHYLOCOCCUS SCHLEIFERI
STAPHYLOCOCCUS SCIURI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SCIURI,,STAPHYLOCOCCUS SCIURI
STAPHYLOCOCCUS SIMULANS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SIMULANS,,STAPHYLOCOCCUS SIMULANS
HEMOLYTIC STAPH SP,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,HEMOLYTIC,STAPHYLOCOCCUS SP
HEMOLYTIC STAPH SP,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,HEMOLYTIC,STAPHYLOCOCCUS SP
HEMOLYTIC STAPHYLOCOCCUSNOT STAPH AUREUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,HEMOLYTIC,STAPHYLOCOCCUS SP
COAGULASE NEGATIVE STAPHYLOCOCCI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,COAGULASE NEGATIVE,STAPHYLOCOCCUS SP
COAGULASE NEGATIVE STAPHYLOCOCCUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,COAGULASE NEGATIVE,STAPHYLOCOCCUS SP
NONHEMOLYTIC STAPHYLOCOCCUS SP,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,,STAPHYLOCOCCUS SP
STAPHYLOCOCCUS SP,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SP,,STAPHYLOCOCCUS SP
STAPHYLOCCCUS SUCCINUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SUCCINUS,,STAPHYLOCOCCUS SUCCINUS
STAPHYLOCCUS SUCCINUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SUCCINUS,,STAPHYLOCOCCUS SUCCINUS
STAPHYLOCOCCUS SUCCINUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,SUCCINUS,,STAPHYLOCOCCUS SUCCINUS
STAPHYLOCOCCUS VITULINUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,VITULINUS,,STAPHYLOCOCCUS VITULINUS
STAPHYLOCOCCUS WARNERI,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,WARNERI,,STAPHYLOCOCCUS WARNERI
STAPHYLOCOCCUS XYLOSUS,BACILLALES,STAPHYLOCOCCACEAE,STAPHYLOCOCCUS,XYLOSUS,,STAPHYLOCOCCUS XYLOSUS
BACTEROIDES SP,BACTEROIDALES,BACTEROIDACEAE,BACTEROIDES,SP,,BACTEROIDES SP
BASIDIOBOLUS SP,BASIDIOBOLALES,BASIDIOBOLACEAE,BASIDIOBOLUS,SP,,BASIDIOBOLUS SP
ALLOSCARDOVIA OMNICOLENS,BIFIDOBACTERIALES,BIFIDOBACTERIACEAE,ALLOSCARDOVIA,OMNICOLENS,,ALLOSCARDOVIA OMNICOLENS
